Hora,T1,T2,T3,Pressao,Empuxo,Falhas
14:18:26,2700,2625,3250,243,-7,62
14:18:26,2700,2550,3200,594,-7,62
14:18:26,2725,2625,3250,413,-7,62
14:18:27,2700,2575,3200,207,-7,62
14:18:27,2700,2575,3225,462,-7,62
14:18:27,2750,2575,3175,243,-7,62
14:18:27,2700,2575,3225,207,-7,63
14:18:28,2725,2625,3225,261,-7,63
14:18:28,2725,2600,3200,207,-7,63
14:18:28,2700,2625,3200,347,-7,63
14:18:29,2700,2600,3250,207,-7,63
14:18:29,2675,2625,3225,225,-7,63
14:18:29,2675,2600,3200,207,-7,63
14:18:29,2675,2600,3200,445,-7,64
14:18:30,2650,2600,3250,560,-7,64
14:18:30,2700,2600,3200,380,-7,64
14:18:30,2675,2625,3250,396,-7,64
14:18:31,2725,2575,3225,560,-7,64
14:18:31,2675,2600,3250,527,-7,64
14:18:31,2700,2625,3200,207,-7,65
14:18:31,2650,2575,3175,243,-7,65
14:18:32,2700,2575,3225,544,-7,65
14:18:32,2650,2600,3250,462,-7,65
14:18:32,2725,2600,3200,494,-6,66
14:18:32,2650,2650,3175,225,-7,66
14:18:33,2725,2575,3225,278,-7,66
14:18:33,2725,2575,3250,380,-7,67
14:18:33,2725,2600,3250,577,-7,67
14:18:34,2750,2625,3250,577,-7,67
14:18:34,2675,2625,3150,207,-7,67
14:18:34,2700,2600,3200,544,-7,67
14:18:34,2725,2600,3250,445,-7,67
14:18:35,2700,2600,3250,462,-7,67
14:18:35,2675,2600,3250,347,-7,68
14:18:35,2700,2600,3250,207,-7,68
14:18:36,2700,2575,3225,413,-6,68
14:18:36,2700,2625,3200,188,-6,68
14:18:36,2725,2650,3225,544,-7,68
14:18:36,2675,2600,3250,347,-7,68
14:18:37,2675,2600,3250,560,-7,68
14:18:37,2700,2600,3250,278,-7,68
14:18:37,2675,2600,3200,261,-7,68
14:18:38,2700,2575,3200,445,-6,68
14:18:38,2725,2575,3250,560,-7,68
14:18:38,2675,2625,3225,462,-7,68
14:18:38,2625,2600,3200,462,-7,68
14:18:39,2700,2625,3200,429,-7,68
14:18:39,2725,2600,3250,347,-7,68
14:18:39,2725,2600,3250,296,-7,68
14:18:40,2675,2600,3250,347,-7,68
14:18:40,2675,2600,3200,225,-7,68
14:18:40,2700,2575,3200,511,-6,68
14:18:40,2650,2625,3250,380,-7,68
14:18:41,2700,2625,3200,278,-7,68
14:18:41,2725,2550,3175,544,-7,68
14:18:41,2675,2600,3225,544,-7,69
14:18:41,2725,2550,3250,478,-7,69
14:18:42,2725,2575,3200,511,-7,69
14:18:42,2675,2600,3225,544,-7,69
14:18:42,2700,2600,3225,313,-7,70
14:18:43,2725,2625,3250,261,-7,70
14:18:43,2675,2600,3225,527,-7,70
14:18:43,2700,2575,3200,577,-7,70
14:18:43,2725,2625,3250,296,-7,70
14:18:44,2700,2575,3250,494,-7,70
14:18:44,2650,2575,3225,646,-7,70
14:18:44,2700,2575,3200,527,-7,70
14:18:44,2675,2600,3200,577,-7,70
14:18:45,2700,2550,3275,594,-7,70
14:18:45,2700,2600,3250,700,-7,70
14:18:45,2700,2550,3250,396,-7,70
14:18:45,2725,2625,3225,511,-7,70
